time,nominal_speed,true_speed_upper,uncertainty_scale,dynamic_r,global_r,dynamic_s,global_s
0,0,0.369372324149984,0.258527244615498,0.105717761840721,0.105717761840721,0,0
4.44263207378984e-05,0,0.369482017374912,0.258532310072715,0.105717460102977,0.105717761840721,3.16969492158329e-05,3.16969927818291e-05
8.88526414757968e-05,0,0.369591704240325,0.258537376740204,0.105717158374279,0.105717761840721,6.33920692336534e-05,6.33922434926981e-05
0.000133278962213695,0,0.369701384746584,0.258542444617721,0.105716856654627,0.105717761840721,9.50853601566068e-05,9.50857522282672e-05
0.000177705282951594,0,0.369811058894051,0.258547513705021,0.105716554944023,0.105717761840721,0.000126776822087833,0.000126777519084452
0.000399836886641085,0,0.370359334262147,0.258572877279694,0.105715046526711,0.105717761840721,0.000285206700477546,0.000285210228523306
0.000621968490330577,0,0.370907450714627,0.258598271062226,0.105713538335612,0.105717761840721,0.000443590869541805,0.000443599405332801
0.000844100094020069,0,0.371455408296638,0.258623695022051,0.105712030370761,0.105717761840721,0.00060192934216678,0.000601945061474429
0.00106623169770956,0,0.372003207053314,0.258649149128622,0.105710522632192,0.105717761840721,0.000760222131235153,0.000760247208906414
0.00217688971615702,0,0.374739820035513,0.258776870795016,0.105702987334815,0.105717761840721,0.00155100127387879,0.00155110573372801
0.00328754773460448,0,0.377472469147356,0.258905341560263,0.105695457699745,0.105717761840721,0.00234064025800376,0.00234087833264877
0.00439820575305194,0,0.380201160016674,0.259034557629877,0.105687933731307,0.105717761840721,0.00312914069002338,0.00312956649675076
0.0055088637714994,0,0.382925898263565,0.25916451522256,0.105680415433783,0.105717761840721,0.0039165041741788,0.00391717171506889
0.010157020674101,0,0.394286298187151,0.259716355308633,0.105649012621893,0.105717761840721,0.0071993580965456,0.00720162064683345
0.0148051775767027,0,0.405577977439113,0.260280843486475,0.105617709510459,0.105717761840721,0.0104624438291818,0.0104672367925627
0.0194533344793043,0,0.416801343578678,0.260857710000562,0.10558650639046,0.105717761840721,0.013705877728311,0.013714128138052
0.024101491381906,0,0.427956801833181,0.261446689014705,0.10555540354078,0.105717761840721,0.016929775494848,0.016942402049914
0.029101491381906,0,0.4398813227798,0.262093473633157,0.105522058602951,0.105717761840721,0.0203760281766465,0.0203943782792021
0.034101491381906,0,0.451728230781343,0.262753649655303,0.105488830315753,0.105717761840721,0.0237999506679595,0.0238250674989865
0.039101491381906,0,0.463498021231703,0.263426900980357,0.105455718981009,0.105717761840721,0.0272016844532617,0.0272346009780659
0.044101491381906,0,0.475191186473013,0.264112916481352,0.105422724885399,0.105717761840721,0.0305813701587256,0.030623109175755
0.049101491381906,0,0.486808215797079,0.264811389935471,0.105389848300655,0.105717761840721,0.033939147552442,0.0339907217468764
0.054101491381906,0,0.498349595436593,0.265522019954489,0.105357089483927,0.105717761840721,0.0372751555415361,0.0373375675467208
0.059101491381906,0,0.509815808620179,0.26624450991994,0.105324448678093,0.105717761840721,0.0405895321876142,0.0406637746359782
0.064101491381906,0,0.521207335595099,0.266978567917384,0.105291926111926,0.105717761840721,0.0438824147130936,0.0439694702856377
0.069101491381906,0,0.532524653628691,0.267723906670147,0.105259522000277,0.105717761840721,0.0471539395014319,0.0472547809818567
0.074101491381906,0,0.543768236999843,0.26848024347312,0.105227236544428,0.105717761840721,0.0504042420943345,0.0505198324308016
0.079101491381906,0,0.55493855705286,0.269247300131494,0.105195069932373,0.105717761840721,0.0536334572068876,0.0537647495634569
0.084101491381906,0,0.566036082219707,0.270024802898415,0.105163022338986,0.105717761840721,0.056841718733763,0.0569896565404061
0.089101491381906,0,0.577061278021438,0.270812482411983,0.105131093926185,0.105717761840721,0.060029159749456,0.0601946767565818
0.094101491381906,0,0.588014607059917,0.271610073632239,0.105099284843271,0.105717761840721,0.0631959125055799,0.0633799328459878
0.099101491381906,0,0.598896529070539,0.272417315783296,0.105067595227195,0.105717761840721,0.0663421084456904,0.0665455466863908
0.104101491381906,0,0.609707500944002,0.273233952294211,0.105036025202704,0.105717761840721,0.0694678782113657,0.0696916394039847
0.109101491381906,0,0.620447976727735,0.274059730739096,0.105004574882509,0.105717761840721,0.0725733516424524,0.0728183313780244
0.114101491381906,0,0.631118407617854,0.274894402777131,0.1049732443676,0.105717761840721,0.0756586577744442,0.0759257422454324
0.119101491381906,0,0.641719242010754,0.275737724097929,0.104942033747498,0.105717761840721,0.0787239248530006,0.0790139909053762
0.124101491381906,0,0.652250925524419,0.276589454365466,0.10491094310039,0.105717761840721,0.0817692803399054,0.0820831955238179
0.129101491381906,0,0.662713900999845,0.277449357161152,0.10487997249329,0.105717761840721,0.0847948509133179,0.0851334735380358
0.134101491381906,0,0.673108608493223,0.27831719992673,0.104849121982338,0.105717761840721,0.0878007624652342,0.0881649416611172
0.139101491381906,0,0.683435485326426,0.27919275391271,0.104818391613032,0.105717761840721,0.0907871401157039,0.0911777158864251
0.144101491381906,0,0.693694966107857,0.280075794125211,0.10478778142036,0.105717761840721,0.0937541082186677,0.0941719114920361
0.149101491381906,0,0.703887482733866,0.280966099271839,0.104757291428948,0.105717761840721,0.0967017903622143,0.0971476430451508
0.154101491381906,0,0.71401346438116,0.281863451707349,0.104726921653346,0.105717761840721,0.0996303093661204,0.100105024406478
0.159101491381906,0,0.72407333755619,0.282767637384985,0.104696672098245,0.105717761840721,0.10253978729577,0.103044168734592
0.164101491381906,0,0.734067526115556,0.283678445806088,0.104666542758599,0.105717761840721,0.105430345467874,0.105965188490262
0.169101491381906,0,0.743996451267411,0.284595669968656,0.104636533619764,0.105717761840721,0.108302104450728,0.108868195440752
0.174101491381906,0,0.753860531564091,0.285519106315631,0.104606644657775,0.105717761840721,0.111155184061832,0.111753300664104
0.179101491381906,0,0.763660182950423,0.286448554688992,0.104576875839542,0.105717761840721,0.113989703381517,0.114620614553383
0.184101491381906,0,0.773395818783688,0.287383818282006,0.104547227122968,0.105717761840721,0.116805780758542,0.117470246820901
0.189101491381906,0,0.783067849835018,0.288324703590327,0.104517698457081,0.105717761840721,0.119603533810363,0.120302306502419
0.194101491381906,0,0.792676684282235,0.289271020362792,0.104488289782291,0.105717761840721,0.122383079420819,0.123116901961314
0.199101491381906,0,0.802222727757096,0.290222581558127,0.104459001030581,0.105717761840721,0.125144533753474,0.125914140892729
0.204101491381906,0,0.811706383364829,0.291179203299701,0.104429832125614,0.105717761840721,0.127888012257097,0.128694130327693
0.209101491381906,0,0.821128051685513,0.292140704829053,0.104400782982851,0.105717761840721,0.130613629665932,0.131456976637214
0.214101491381906,0,0.830488130767122,0.293106908459067,0.104371853509811,0.105717761840721,0.133321499997459,0.134202785536353
0.219101491381906,0,0.83978701617173,0.294077639533164,0.104343043606232,0.105717761840721,0.13601173656545,0.136931662088266
0.224101491381906,0,0.849025100994619,0.295052726382433,0.104314353164178,0.105717761840721,0.138684451985331,0.139643710708224
0.229101491381906,0,0.858202775865647,0.296032000281469,0.104285782068157,0.105717761840721,0.141339758174458,0.14233903516761
0.234101491381906,0,0.867320428942489,0.297015295403811,0.104257330195354,0.105717761840721,0.143977766349948,0.145017738597889
0.239101491381906,0,0.87637844595582,0.298002448783496,0.104228997415794,0.105717761840721,0.146598587041449,0.147679923494555
0.244101491381906,0,0.885377210228001,0.298993300274445,0.104200783592434,0.105717761840721,0.149202330096396,0.150325691721049
0.249101491381906,0,0.894317102674435,0.2999876925085,0.104172688581274,0.105717761840721,0.151789104680285,0.152955144512661
0.254101491381906,0,0.903198501797,0.300985470853022,0.104144712231585,0.105717761840721,0.154359019274568,0.155568382480402
0.259101491381906,0,0.912021783728225,0.301986483374676,0.104116854386054,0.105717761840721,0.156912181689155,0.158165505614853
0.264101491381906,0,0.920787322249565,0.30299058080097,0.104089114880873,0.105717761840721,0.159448699067549,0.160746613289992
0.269101491381906,0,0.929495488792739,0.303997616480378,0.104061493545843,0.105717761840721,0.161968677887128,0.163311804266996
0.274101491381906,0,0.938146652433356,0.305007446341994,0.104033990204591,0.105717761840721,0.164472223957106,0.165861176698019
0.279101491381906,0,0.946741179934095,0.306019928861438,0.104006604674703,0.105717761840721,0.166959442430752,0.16839482812995
0.284101491381906,0,0.955279435762579,0.307034925024429,0.103979336767808,0.105717761840721,0.169430437810429,0.170912855508143
0.289101491381906,0,0.963761782092699,0.308052298288906,0.103952186289677,0.105717761840721,0.171885313947871,0.173415355180125
0.294101491381906,0,0.972188578798415,0.30907191454663,0.103925153040427,0.105717761840721,0.174324174042202,0.175902422899289
0.299101491381906,0,0.980560183495973,0.310093642091104,0.103898236814648,0.105717761840721,0.176747120651898,0.178374153828552
0.304101491381906,0,0.988876951561375,0.311117351583082,0.103871437401475,0.105717761840721,0.179154255699706,0.180830642543996
0.309101491381906,0,0.997139236131688,0.31214291601458,0.103844754584689,0.105717761840721,0.181545680472931,0.183271983038491
0.314101491381906,0,1.00534738809902,0.313170210672345,0.103818188142904,0.105717761840721,0.183921495621511,0.185698268725289
0.319101491381906,0,1.0135017561518,0.314199113107674,0.103791737849688,0.105717761840721,0.186281801169715,0.188109592441597
0.324101491381906,0,1.02160268679181,0.315229503103765,0.103765403473632,0.105717761840721,0.188626696520961,0.190506046452131
0.329101491381906,0,1.02965052433554,0.316261262641529,0.103739184778437,0.105717761840721,0.190956280458095,0.192887722452648
