time,nominal_speed,local_r,original_epsilon,local_s,global_s
0,0,0.0744263861879442,0.0744263861879442,0,0
3.92080794905668e-05,0,0.074426270556068,0.0744263861879442,1.9999475569288e-05,1.99994903036059e-05
7.84161589811336e-05,0,0.0744261549266158,0.0744263861879442,3.99979023132038e-05,3.9997961249138e-05
0.0001176242384717,0,0.0744260392995876,0.0744263861879442,5.99952802858229e-05,5.99954128885238e-05
0.000156832317962267,0,0.0744259236749834,0.0744263861879442,7.99916095412181e-05,7.99918452736908e-05
0.000352872715415101,0,0.0744253455883236,0.0744263861879442,0.000179957526952191,0.00017995872020471
0.000548913112867935,0,0.0744247675622695,0.0744263861879442,0.000279897234541904,0.000279900121572175
0.000744953510320769,0,0.0744241895968255,0.0744263861879442,0.000379810739066365,0.000379816055867332
0.000940993907773603,0,0.074423611691996,0.0744263861879442,0.000479698047279868,0.000479706529579639
0.00192119589503777,0,0.0744207230772206,0.0744263861879442,0.000978741879963691,0.000978777216416331
0.00290139788230194,0,0.0744178359784675,0.0744263861879442,0.0014771318170312,0.00147721236116001
0.00388159986956611,0,0.0744149503962805,0.0744263861879442,0.00197486870084075,0.00197501277314246
0.00486180185683028,0,0.0744120663311978,0.0744263861879442,0.00247195337268251,0.0024721792606648
0.00790068526754771,0,0.0744031346208885,0.0744263861879442,0.00400890996328802,0.00400950537976819
0.0109395686782651,0,0.0743942175130459,0.0744263861879442,0.00553963077635716,0.00554077019819342
0.0139784520889826,0,0.0743853150227104,0.0744263861879442,0.00706414068594917,0.00706599761416572
0.0170173354997,0,0.0743764271644248,0.0744263861879442,0.00858246446866414,0.00858521143168555
0.0200564757009706,0,0.0743675532030563,0.0744263861879442,0.0100947543241916,0.0100985629783314
0.0230956159022411,0,0.0743586939038272,0.0744263861879442,0.0116009062785304,0.0116059472469645
0.0261347561035117,0,0.0743498492798219,0.0744263861879442,0.0131009448230613,0.0131073877670861
0.0291738963047822,0,0.0743410193436476,0.0744263861879442,0.0145948943531634,0.0146029079754182
0.0324617516931003,0,0.0743314833429368,0.0744263861879442,0.0162042759972702,0.016214177709883
0.0357496070814184,0,0.074321964561392,0.0744263861879442,0.0178065903069735,0.0178185752330122
0.0390374624697365,0,0.0743124630131289,0.0744263861879442,0.0194018677923021,0.0194161298554094
0.0423253178580546,0,0.0743029787116374,0.0744263861879442,0.0209901388339144,0.021006870762666
0.0458714245650026,0,0.074292768793096,0.0744263861879442,0.0226953451027436,0.0227149555592545
0.0494175312719507,0,0.0742825789674065,0.0744263861879442,0.0243924740036108,0.0244151843114582
0.0529636379788987,0,0.0742724092491028,0.0744263861879442,0.0260815631490109,0.0261075931518119
0.0565097446858467,0,0.0742622596519106,0.0744263861879442,0.0277626499794376,0.027792218046665
0.0602717980791125,0,0.0742515139871321,0.0744263861879442,0.0295374031222323,0.0295709617952561
0.0640338514723784,0,0.0742407909977091,0.0744263861879442,0.0313032358749829,0.0313410275341411
0.0677959048656442,0,0.0742300906971254,0.0744263861879442,0.0330601923108745,0.0331024576009824
0.07155795825891,0,0.074219413097892,0.0744263861879442,0.0348083162892682,0.0348552941268884
0.0755077612435517,0,0.0742082270624632,0.0744263861879442,0.0366342254989102,0.0366864062865851
0.0794575642281935,0,0.0741970660757628,0.0744263861879442,0.0384504970314673,0.0385081402522434
0.0834073672128352,0,0.0741859301489048,0.0744263861879442,0.0402571808883397,0.0403205440550684
0.0873571701974769,0,0.0741748192918844,0.0744263861879442,0.0420543268162142,0.0421236654802691
0.0914744295360404,0,0.0741632640737912,0.0744263861879442,0.0439175651412729,0.0439934025664018
0.0955916888746038,0,0.0741517361147847,0.0744263861879442,0.0457705491893148,0.0458531587372515
0.0997089482131672,0,0.0741402354224173,0.0744263861879442,0.0476133344263226,0.0477029872723249
0.103826207551731,0,0.0741287620029941,0.0744263861879442,0.0494459760237106,0.0495429411667157
0.108095610577991,0,0.0741168934188813,0.0744263861879442,0.0513356844548086,0.0514405138821706
0.112365013604252,0,0.0741050541702981,0.0744263861879442,0.0532146055851166,0.0533275838174758
0.116634416630513,0,0.0740932442601577,0.0744263861879442,0.0550827999320972,0.0552042091039429
0.120903819656773,0,0.0740814636900163,0.0744263861879442,0.0569403276798841,0.0570704475511354
0.125313405891549,0,0.0740693271132102,0.0744263861879442,0.0588477120228199,0.0589871197871655
0.129722992126325,0,0.0740572218337449,0.0744263861879442,0.0607438472169171,0.0608928362041449
0.134132578361101,0,0.0740451478489243,0.0744263861879442,0.062628798456883,0.0627876594262245
0.138542164595877,0,0.0740331051546034,0.0744263861879442,0.0645026305664711,0.0646716517195912
0.143082344880759,0,0.0740207384929193,0.0744263861879442,0.0664204080237013,0.0666001887120903
0.147622525165641,0,0.0740084049890206,0.0744263861879442,0.0683265362555168,0.0685173765528912
0.152162705450523,0,0.0739961046337324,0.0744263861879442,0.0702210847907122,0.0704232820300541
0.156702885735405,0,0.073983837416356,0.0744263861879442,0.0721041227506628,0.0723179715386011
0.161365813980414,0,0.0739712730245133,0.0744263861879442,0.0740261609652611,0.0742522801277059
0.166028742225423,0,0.0739587435589228,0.0744263861879442,0.0759362042625648,0.0761748987788777
0.170691670470432,0,0.0739462490031551,0.0744263861879442,0.0778343261878996,0.0780858981399181
0.17535459871544,0,0.0739337893391994,0.0744263861879442,0.0797205998438805,0.07998534843167
0.180133751097988,0,0.0739210553030671,0.0744263861879442,0.0816416702276671,0.0819202313637856
0.184912903480536,0,0.0739083578764962,0.0744263861879442,0.0835504484138322,0.0838431303315368
0.189692055863084,0,0.0738956970351169,0.0744263861879442,0.0854470116683332,0.0857541195592603
0.194471208245632,0,0.0738830727529359,0.0744263861879442,0.0873314367803089,0.0876532728115739
0.19936108971164,0,0.0738701937871698,0.0744263861879442,0.0892470388389858,0.0895842538652053
0.204250971177648,0,0.0738573530341848,0.0744263861879442,0.0911500948886257,0.091502998902272
0.209140852643656,0,0.073844550461069,0.0744263861879442,0.093040685638615,0.093409585458543
0.214030734109664,0,0.0738317860332606,0.0744263861879442,0.0949188912885998,0.095304090578468
0.219026667360798,0,0.0738187841280179,0.0744263861879442,0.096825123445196,0.0972272860618255
0.224022600611932,0,0.0738058219625419,0.0744263861879442,0.098718595080464,0.0991380314158136
0.229018533863065,0,0.0737928994948565,0.0744263861879442,0.10059939008644,0.101036407238438
0.234014467114199,0,0.0737800166813238,0.0744263861879442,0.102467591813682,0.102922493605941
0.239112437015837,0,0.0737669115802237,0.0744263861879442,0.104361053814648,0.104834515342233
0.244210406917476,0,0.0737538476726514,0.0744263861879442,0.106241576505137,0.106733907317702
0.249308376819114,0,0.0737408249071198,0.0744263861879442,0.1081092467137,0.108620752957579
0.254406346720752,0,0.073727843230482,0.0744263861879442,0.109964150696854,0.110495135136038
0.259602882746719,0,0.0737146527925472,0.0744263861879442,0.11184186801118,0.112393015367456
0.264799418772685,0,0.0737015049310916,0.0744263861879442,0.113706499840716,0.114278117684156
0.269995954798651,0,0.0736883995847412,0.0744263861879442,0.11555813571761,0.116150528116385
0.275192490824617,0,0.0736753366904772,0.0744263861879442,0.117396864572592,0.118010332115171
0.280484576658003,0,0.073662077169294,0.0744263861879442,0.119256228668619,0.119891464226281
0.285776662491388,0,0.0736488615387309,0.0744263861879442,0.121102390986814,0.121759699106499
0.291068748324774,0,0.0736356897272176,0.0744263861879442,0.122935443542051,0.123615125180538
0.296360834158159,0,0.0736225616615661,0.0744263861879442,0.124755477719564,0.125457830266861
0.301745836877477,0,0.0736092479247067,0.0744263861879442,0.12659419798077,0.127319921099414
0.307130839596795,0,0.0735959793255071,0.0744263861879442,0.128419627624872,0.129169021880013
0.312515842316112,0,0.0735827557819543,0.0744263861879442,0.130231860939676,0.131005223228003
0.31790084503543,0,0.0735695772104557,0.0744263861879442,0.132030991556274,0.132828615130561
0.323376459188496,0,0.0735562229137595,0.0744263861879442,0.13384705607546,0.134669646139318
0.328852073341562,0,0.0735429149361797,0.0744263861879442,0.135649766416504,0.136497618672196
0.334327687494628,0,0.0735296531850723,0.0744263861879442,0.137439218940616,0.13831262535327
0.339803301647694,0,0.0735164375662624,0.0744263861879442,0.139215509326362,0.140114758149628
0.345367503907868,0,0.0735030552957604,0.0744263861879442,0.141007152269426,0.141932953093813
0.350931706168041,0,0.0734897204616346,0.0744263861879442,0.142785400789346,0.143738043644466
0.356495908428214,0,0.0734764329604764,0.0744263861879442,0.14455035313077,0.145530124249727
0.362060110688387,0,0.0734631926874044,0.0744263861879442,0.146302106830899,0.147309288677012
0.367711123318109,0,0.0734497940747873,0.0744263861879442,0.148067781157337,0.149103086642871
0.37336213594783,0,0.0734364439529198,0.0744263861879442,0.149820042348953,0.150883755087141
